original,anottated
"liga a TV de segunda a sexta pela manhã as 7 e meia","liga a [@TV#B-DEVICE*] de segunda a sexta pela manhã as [@7#B-SCHEDULE*] e [@meia#I-SCHEDULE*]"
"desliga a TV todo dia depois da Ana Maria Braga","desliga a [@TV#B-DEVICE*] todo dia depois da Ana Maria Braga"
"liga no jornal da globo todo dia a noite quando começar","liga no jornal da globo todo dia a [@noite#B-SCHEDULE*] quando começar"
"acende a luz da cozinha todo dia às 18 as 22","acende a [@luz#B-DEVICE*] da cozinha todo dia às [@18#B-SCHEDULE*] as [@22#I-SCHEDULE*]"
"deixa a luz da cozinha acesa todo dia de 6 as 10 da noite","deixa a [@luz#B-DEVICE*] da cozinha acesa todo dia de [@6#B-SCHEDULE*] as [@10#I-SCHEDULE*] da [@noite#I-SCHEDULE*]"
"esquenta a comida por 1:30 seg","esquenta a comida por [@1:30#B-SCHEDULE*] [@seg#I-SCHEDULE*]"
"esquenta por 1 minuto e meio","esquenta por [@1#B-SCHEDULE*] [@minuto#I-SCHEDULE*] [@e#I-SCHEDULE*] [@meio#I-SCHEDULE*]"
"Pode preparar um café às 7h?","Pode preparar um café às [@7h#B-SCHEDULE*]?"
"Quando for 22h, desligue a TV.","Quando for [@22h#B-SCHEDULE*], desligue a [@TV#B-DEVICE*]."
"Desligue o forno em 30 minutos.","Desligue o [@forno#B-DEVICE*] em [@30#B-SCHEDULE*] [@minutos#I-SCHEDULE*]."
"Desligue o ar condicionado as 2h da manhã.","Desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] as [@2h#B-SCHEDULE*] da [@manhã#I-SCHEDULE*]."
"Coloque o despertador para 6h30 amanhã","Coloque o despertador para [@6h30#B-SCHEDULE*] amanhã"
"Deixe no modo soneca por mais 15 minutos, por favor","Deixe no modo soneca por mais 15 minutos, por favor"
"Por favor, ligue para meu avô às 16h;","Por favor, ligue para meu avô às [@16h#B-SCHEDULE*];"
"Ligar a maquina de lavar toda quarta às 12h","Ligar a [@maquina#B-DEVICE*] [@de#I-DEVICE*] [@lavar#I-DEVICE*] toda quarta às [@12h#B-SCHEDULE*]"
"Ligue o alarme todo dia as 19h","Ligue o [@alarme#B-DEVICE*] todo dia as [@19h#B-SCHEDULE*]"
"Sempre que a temperatura for maior que 35 graus, ligue o ar condicionado.","Sempre que a temperatura for maior que 35 graus, ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*]."
"Ligue as luzes da casa às 18:30","Ligue as [@luzes#B-DEVICE*] da casa às [@18:30#B-SCHEDULE*]"
"Desligue as luzes às 22:30","Desligue as [@luzes#B-DEVICE*] às [@22:30#B-SCHEDULE*]"
"Ligue o som as terças e quintas,das 18:30 as 20:00","Ligue o [@som#B-DEVICE*] as terças e quintas,das [@18:30#B-SCHEDULE*] as [@20:00#I-SCHEDULE*]"
"Ligue as luzes às 8:30, de segunda a sexta","Ligue as [@luzes#B-DEVICE*] às [@8:30#B-SCHEDULE*], de segunda a sexta"
"Desligue as luzes às 10:00, de segunda a sexta","Desligue as [@luzes#B-DEVICE*] às [@10:00#B-SCHEDULE*], de segunda a sexta"
"Ligue o ar condicionado de domingo a domingo, às 20:00","Ligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*] de domingo a domingo, às [@20:00#B-SCHEDULE*]"
"Desligue o ar condicionado, todos os dias, às 9:00","Desligue o [@ar#B-DEVICE*] [@condicionado#I-DEVICE*], todos os dias, às [@9:00#B-SCHEDULE*]"
"Ligue o filtro d’água, todos os dias às 17:00","Ligue o [@filtro#B-DEVICE*] [@d’água#I-DEVICE*], todos os dias às [@17:00#B-SCHEDULE*]"
"Desligue o ventilador do quarto às 19:00","Desligue o [@ventilador#B-DEVICE*] do quarto às [@19:00#B-SCHEDULE*]"
"Desligue o filtro d’água ás 10:00","Desligue o [@filtro#B-DEVICE*] [@d’água#I-DEVICE*] ás [@10:00#B-SCHEDULE*]"
